,hex_id,U-Bahn,S-Bahn,DB,R-Bahn,Bus,rank,population,under_18s,share_under_18s,65yo_and_older,share_65yo_and_older,foreigners,share_foreigners,pop_w_migration_bg,share_pop_w_migration_bg,under_18_mig_bg,share_under_18_mig_bg,hh,ppl_per_hh,single_per_hh,share_single_per_hh,hh_w_chld,share_hh_w_chld,sngl_parent,share_sngl_parent,area_km,pop_dnsty,births,deaths,immigration,moving_away,migr_balance,social_insur,employment_rate,unemployed,share_unemployed,yng_unemployed,share_yng_unemployed,old_unemployed,share_old_unemployed,sgb_2,share_sgb_2,under_15_min_security,share_under_15_min_security,community_of_needs_sgb_2,taxpayers,total_income_per_taxpayer,residental_bldngs,apartments,ready_to_move_apt,apt_in_houses,share_apt_in_houses,apt_size,living_space_per_inhab,social_housing,share_social_housing,land_prices,kita_preschool,primary_schools,share_high_school_stud,doctors,practitioners,dentists,pharmacies,private_cars,car_density,geometry,counts
0,891f02d96d3ffff,0,0,0,0,1,0,91703.0,16000.0,17.44762985,20428.0,22.27626141,12373.0,13.49247026,29971.0,32.64814815,7797.0,48.90240843,46884.0,1.92833376,21693.0,46.26951625,9542.0,20.35235901,2608.0,27.33179627,26.56598439,3451.895425,939.0,1020.0,10440.0,9275.0,1165.0,33466.0,58.1,2789.0,4.8102794069999995,296.0,3.106633081,508.0,4.44600035,9515.0,10.37588738,2919.0,21.95562241,4661.0,42075.0,33419.0,15319.0,44157.0,294.0,12600.0,28.53454718,81.17342664,39.08678015,3435.0,7.779061078,453.0,37.0,12.0,42.16938495,153.0,56.0,63.0,15.0,35925.0,391.7538139,"{'type': 'Polygon', 'coordinates': [[[10.179575810148815, 53.58862716454633], [10.17978066718676, 53.58703417637481], [10.182409758167731, 53.58646094690235], [10.184834106029935, 53.587480693884046], [10.184629368394043, 53.58907369736897], [10.18200016349069, 53.58964693856019], [10.179575810148815, 53.58862716454633]]]}",1
1,891f02db243ffff,0,0,0,0,1,0,91703.0,16000.0,17.44762985,20428.0,22.27626141,12373.0,13.49247026,29971.0,32.64814815,7797.0,48.90240843,46884.0,1.92833376,21693.0,46.26951625,9542.0,20.35235901,2608.0,27.33179627,26.56598439,3451.895425,939.0,1020.0,10440.0,9275.0,1165.0,33466.0,58.1,2789.0,4.8102794069999995,296.0,3.106633081,508.0,4.44600035,9515.0,10.37588738,2919.0,21.95562241,4661.0,42075.0,33419.0,15319.0,44157.0,294.0,12600.0,28.53454718,81.17342664,39.08678015,3435.0,7.779061078,453.0,37.0,12.0,42.16938495,153.0,56.0,63.0,15.0,35925.0,391.7538139,"{'type': 'Polygon', 'coordinates': [[[10.181557105567308, 53.61296361560506], [10.181761993014598, 53.61137125390281], [10.184392088501395, 53.610798349523066], [10.186817410539962, 53.611817795100556], [10.186612642589514, 53.61341017209981], [10.183982433100391, 53.61398308822595], [10.181557105567308, 53.61296361560506]]]}",1
2,891f02db40bffff,0,0,0,0,1,0,20694.0,4182.0,20.20875616,5450.0,26.33613608,1387.0,6.702425824,3383.0,16.3698829,1039.0,24.95796301,9495.0,2.156924697,3578.0,37.68299105,2385.0,25.11848341,505.0,21.17400419,11.57624444,1787.6263850000003,142.0,250.0,1628.0,1459.0,169.0,6033.0,50.6,270.0,2.267002519,14.0,0.6383948928000001,59.0,2.12077642,692.0,3.3439644339999997,205.0,6.148770246000001,355.0,9494.0,63763.0,5529.0,9054.0,47.0,5304.0,58.58184228,112.70432959999998,49.31018653,668.0,7.377954495,658.0,13.0,4.0,59.58142577,87.0,26.0,29.0,5.0,9297.0,449.26065530000005,"{'type': 'Polygon', 'coordinates': [[[10.184531905644576, 53.64945071275403], [10.184736838679184, 53.6478592911408], [10.187368442352867, 53.64728687425366], [10.189795227111146, 53.64830586719321], [10.189590413715841, 53.64989730407882], [10.186958695919726, 53.650469732753876], [10.184531905644576, 53.64945071275403]]]}",1
3,891f02db413ffff,1,0,0,0,1,0,20694.0,4182.0,20.20875616,5450.0,26.33613608,1387.0,6.702425824,3383.0,16.3698829,1039.0,24.95796301,9495.0,2.156924697,3578.0,37.68299105,2385.0,25.11848341,505.0,21.17400419,11.57624444,1787.6263850000003,142.0,250.0,1628.0,1459.0,169.0,6033.0,50.6,270.0,2.267002519,14.0,0.6383948928000001,59.0,2.12077642,692.0,3.3439644339999997,205.0,6.148770246000001,355.0,9494.0,63763.0,5529.0,9054.0,47.0,5304.0,58.58184228,112.70432959999998,49.31018653,668.0,7.377954495,658.0,13.0,4.0,59.58142577,87.0,26.0,29.0,5.0,9297.0,449.26065530000005,"{'type': 'Polygon', 'coordinates': [[[10.183917046530057, 53.65422472072616], [10.18412200957073, 53.65263342754748], [10.186753807705138, 53.65206109778718], [10.189180756937155, 53.653080049415], [10.188975913552357, 53.65467135786406], [10.186344001276417, 53.655243699416296], [10.183917046530057, 53.65422472072616]]]}",5
4,891f02db443ffff,0,0,0,0,1,0,20694.0,4182.0,20.20875616,5450.0,26.33613608,1387.0,6.702425824,3383.0,16.3698829,1039.0,24.95796301,9495.0,2.156924697,3578.0,37.68299105,2385.0,25.11848341,505.0,21.17400419,11.57624444,1787.6263850000003,142.0,250.0,1628.0,1459.0,169.0,6033.0,50.6,270.0,2.267002519,14.0,0.6383948928000001,59.0,2.12077642,692.0,3.3439644339999997,205.0,6.148770246000001,355.0,9494.0,63763.0,5529.0,9054.0,47.0,5304.0,58.58184228,112.70432959999998,49.31018653,668.0,7.377954495,658.0,13.0,4.0,59.58142577,87.0,26.0,29.0,5.0,9297.0,449.26065530000005,"{'type': 'Polygon', 'coordinates': [[[10.177252159618828, 53.64639332520304], [10.177457257076535, 53.64480186229717], [10.180088712798078, 53.644229567877304], [10.182515185194308, 53.64524872459042], [10.182310207349335, 53.64684020277919], [10.179678637492161, 53.647412508973325], [10.177252159618828, 53.64639332520304]]]}",1
5,891f02db44bffff,0,0,0,0,1,0,20694.0,4182.0,20.20875616,5450.0,26.33613608,1387.0,6.702425824,3383.0,16.3698829,1039.0,24.95796301,9495.0,2.156924697,3578.0,37.68299105,2385.0,25.11848341,505.0,21.17400419,11.57624444,1787.6263850000003,142.0,250.0,1628.0,1459.0,169.0,6033.0,50.6,270.0,2.267002519,14.0,0.6383948928000001,59.0,2.12077642,692.0,3.3439644339999997,205.0,6.148770246000001,355.0,9494.0,63763.0,5529.0,9054.0,47.0,5304.0,58.58184228,112.70432959999998,49.31018653,668.0,7.377954495,658.0,13.0,4.0,59.58142577,87.0,26.0,29.0,5.0,9297.0,449.26065530000005,"{'type': 'Polygon', 'coordinates': [[[10.175030938137626, 53.643782610187344], [10.175236080381579, 53.64219109071447], [10.17786742196942, 53.64161880806295], [10.180293735443675, 53.64263803311735], [10.180088712798078, 53.644229567877304], [10.177457257076535, 53.64480186229717], [10.175030938137626, 53.643782610187344]]]}",1
6,891f02db453ffff,0,0,0,0,1,0,20694.0,4182.0,20.20875616,5450.0,26.33613608,1387.0,6.702425824,3383.0,16.3698829,1039.0,24.95796301,9495.0,2.156924697,3578.0,37.68299105,2385.0,25.11848341,505.0,21.17400419,11.57624444,1787.6263850000003,142.0,250.0,1628.0,1459.0,169.0,6033.0,50.6,270.0,2.267002519,14.0,0.6383948928000001,59.0,2.12077642,692.0,3.3439644339999997,205.0,6.148770246000001,355.0,9494.0,63763.0,5529.0,9054.0,47.0,5304.0,58.58184228,112.70432959999998,49.31018653,668.0,7.377954495,658.0,13.0,4.0,59.58142577,87.0,26.0,29.0,5.0,9297.0,449.26065530000005,"{'type': 'Polygon', 'coordinates': [[[10.174415451341803, 53.64855691176069], [10.174620623618448, 53.646965520711255], [10.177252159618828, 53.64639332520304], [10.179678637492161, 53.647412508973325], [10.179473584830415, 53.64900391530783], [10.176841934677238, 53.6495761225884], [10.174415451341803, 53.64855691176069]]]}",1
7,891f02db493ffff,0,0,0,0,1,0,20694.0,4182.0,20.20875616,5450.0,26.33613608,1387.0,6.702425824,3383.0,16.3698829,1039.0,24.95796301,9495.0,2.156924697,3578.0,37.68299105,2385.0,25.11848341,505.0,21.17400419,11.57624444,1787.6263850000003,142.0,250.0,1628.0,1459.0,169.0,6033.0,50.6,270.0,2.267002519,14.0,0.6383948928000001,59.0,2.12077642,692.0,3.3439644339999997,205.0,6.148770246000001,355.0,9494.0,63763.0,5529.0,9054.0,47.0,5304.0,58.58184228,112.70432959999998,49.31018653,668.0,7.377954495,658.0,13.0,4.0,59.58142577,87.0,26.0,29.0,5.0,9297.0,449.26065530000005,"{'type': 'Polygon', 'coordinates': [[[10.180464956523794, 53.66116157996906], [10.180670024421634, 53.65957048709154], [10.18330209738421, 53.65899834338047], [10.185729216623447, 53.66001728075432], [10.185524268400222, 53.661608388902316], [10.182892081259913, 53.662180544407406], [10.180464956523794, 53.66116157996906]]]}",1
8,891f02db4d3ffff,0,0,0,0,2,0,20694.0,4182.0,20.20875616,5450.0,26.33613608,1387.0,6.702425824,3383.0,16.3698829,1039.0,24.95796301,9495.0,2.156924697,3578.0,37.68299105,2385.0,25.11848341,505.0,21.17400419,11.57624444,1787.6263850000003,142.0,250.0,1628.0,1459.0,169.0,6033.0,50.6,270.0,2.267002519,14.0,0.6383948928000001,59.0,2.12077642,692.0,3.3439644339999997,205.0,6.148770246000001,355.0,9494.0,63763.0,5529.0,9054.0,47.0,5304.0,58.58184228,112.70432959999998,49.31018653,668.0,7.377954495,658.0,13.0,4.0,59.58142577,87.0,26.0,29.0,5.0,9297.0,449.26065530000005,"{'type': 'Polygon', 'coordinates': [[[10.17096278656065, 53.655494028252704], [10.171168063713871, 53.653902837495124], [10.173799874434902, 53.65333082804956], [10.17622652218841, 53.65434999758857], [10.176021364668857, 53.65594120363137], [10.173389439758871, 53.65651322485135], [10.17096278656065, 53.655494028252704]]]}",2
9,891f02db603ffff,0,0,0,0,1,0,91703.0,16000.0,17.44762985,20428.0,22.27626141,12373.0,13.49247026,29971.0,32.64814815,7797.0,48.90240843,46884.0,1.92833376,21693.0,46.26951625,9542.0,20.35235901,2608.0,27.33179627,26.56598439,3451.895425,939.0,1020.0,10440.0,9275.0,1165.0,33466.0,58.1,2789.0,4.8102794069999995,296.0,3.106633081,508.0,4.44600035,9515.0,10.37588738,2919.0,21.95562241,4661.0,42075.0,33419.0,15319.0,44157.0,294.0,12600.0,28.53454718,81.17342664,39.08678015,3435.0,7.779061078,453.0,37.0,12.0,42.16938495,153.0,56.0,63.0,15.0,35925.0,391.7538139,"{'type': 'Polygon', 'coordinates': [[[10.171204771605622, 53.633785779291564], [10.171409973356969, 53.632194018290626], [10.17404089233686, 53.631621672007505], [10.176466723672908, 53.632641074974096], [10.17626164147457, 53.63423285127248], [10.173630608383991, 53.63480520930822], [10.171204771605622, 53.633785779291564]]]}",1
