,hex_id,U-Bahn,S-Bahn,DB,R-Bahn,Bus,rank,qrank,population,under_18s,share_under_18s,65yo_and_older,share_65yo_and_older,foreigners,share_foreigners,pop_w_migration_bg,share_pop_w_migration_bg,under_18_mig_bg,share_under_18_mig_bg,hh,ppl_per_hh,single_per_hh,share_single_per_hh,hh_w_chld,share_hh_w_chld,sngl_parent,share_sngl_parent,area_km,pop_dnsty,births,deaths,immigration,moving_away,migr_balance,social_insur,employment_rate,unemployed,share_unemployed,yng_unemployed,share_yng_unemployed,old_unemployed,share_old_unemployed,sgb_2,share_sgb_2,under_15_min_security,share_under_15_min_security,community_of_needs_sgb_2,taxpayers,total_income_per_taxpayer,residental_bldngs,apartments,ready_to_move_apt,apt_in_houses,share_apt_in_houses,apt_size,living_space_per_inhab,social_housing,share_social_housing,land_prices,kita_preschool,primary_schools,share_high_school_stud,doctors,practitioners,dentists,pharmacies,private_cars,car_density,geometry,counts,bike_end,bike_start
10,881f153253fffff,0,0,0,0,3,0,0,29408.0,4486.0,15.25435256,3783.0,12.86384657,5757.0,19.57630577,11150.0,37.93291148,2346.0,52.55376344,18059.0,1.6527493219999998,11314.0,62.65020212,2928.0,16.21352234,910.0,31.07923497,2.717872695,10820.22718,390.0,211.0,3453.0,3339.0,114.0,12181.0,56.3,1544.0,7.117175256,112.0,4.286261003,263.0,8.620124549,3611.0,12.27897171,816.0,20.75807683,2196.0,14861.0,30833.0,1611.0,16313.0,219.0,187.0,1.1463250170000001,63.31343101,35.12078346,2320.0,14.22178631,1465.0,27.0,3.0,39.5480226,191.0,48.0,42.0,9.0,6708.0,228.101197,"{'type': 'Polygon', 'coordinates': [[[9.942589457966156, 53.54568110010972], [9.940594099897634, 53.541470848317296], [9.946057278867952, 53.53874105493015], [9.95351613847525, 53.540221344597576], [9.955512425420755, 53.544431586591564], [9.950048923936599, 53.5471615487413], [9.942589457966156, 53.54568110010972]]]}",3,2186,2242
11,881f153259fffff,0,1,1,1,5,5,10,35480.0,5585.0,15.74126268,4891.0,13.78523112,4577.0,12.90022548,9342.0,26.34294899,1933.0,34.66642755,21616.0,1.663813842,13264.0,61.36195411,3745.0,17.32512953,1026.0,27.3965287,2.795190658,12693.23075,457.0,214.0,3801.0,3916.0,-115.0,14942.0,57.9,1197.0,4.650891712,59.0,1.974564926,220.0,5.450941526,2205.0,6.214768884,415.0,8.553173949,1462.0,18815.0,40830.0,2399.0,19593.0,108.0,416.0,2.1232072680000003,70.42117083,38.88844419,1086.0,5.542795896,1599.0,34.0,4.0,51.45442793,175.0,28.0,61.0,9.0,9646.0,271.8714769,"{'type': 'Polygon', 'coordinates': [[[9.92619699316587, 53.55386744670867], [9.924202608368919, 53.549657599209446], [9.929666764577918, 53.5469291204723], [9.937125628834064, 53.54841032054732], [9.939120942907296, 53.552620158370715], [9.933656463502595, 53.55534880581967], [9.92619699316587, 53.55386744670867]]]}",18,6527,5918
12,881f15325bfffff,0,1,0,0,6,1,5,29408.0,4486.0,15.25435256,3783.0,12.86384657,5757.0,19.57630577,11150.0,37.93291148,2346.0,52.55376344,18059.0,1.6527493219999998,11314.0,62.65020212,2928.0,16.21352234,910.0,31.07923497,2.717872695,10820.22718,390.0,211.0,3453.0,3339.0,114.0,12181.0,56.3,1544.0,7.117175256,112.0,4.286261003,263.0,8.620124549,3611.0,12.27897171,816.0,20.75807683,2196.0,14861.0,30833.0,1611.0,16313.0,219.0,187.0,1.1463250170000001,63.31343101,35.12078346,2320.0,14.22178631,1465.0,27.0,3.0,39.5480226,191.0,48.0,42.0,9.0,6708.0,228.101197,"{'type': 'Polygon', 'coordinates': [[[9.939120942907296, 53.552620158370715], [9.937125628834064, 53.54841032054732], [9.942589457966156, 53.54568110010972], [9.950048923936599, 53.5471615487413], [9.952045167122108, 53.55137137675659], [9.946581015279541, 53.55410076597315], [9.939120942907296, 53.552620158370715]]]}",11,2206,2090
13,881f15328bfffff,0,1,0,0,5,2,8,4667.0,925.0,19.82001286,388.0,8.313691879,2106.0,45.12534819,3374.0,72.31033005,848.0,91.87432286,2510.0,1.880079681,1433.0,57.09163347,520.0,20.71713147,146.0,28.07692308,4.371206162,1067.6687,52.0,15.0,609.0,583.0,26.0,1769.0,51.5,333.0,9.511568123,29.0,3.9030955589999996,36.0,10.34482759,1118.0,23.95543175,334.0,42.93059126,505.0,1911.0,15831.0,210.0,2040.0,0.0,14.0,0.6862745098,60.96372549,26.64795372,413.0,20.24509804,247.0,2.0,1.0,17.05882353,3.0,3.0,3.0,0.0,787.0,168.6308121,"{'type': 'Polygon', 'coordinates': [[[10.014129384127642, 53.525530204724774], [10.012129297898635, 53.521319175309536], [10.017589531649694, 53.518584528302895], [10.025050171379364, 53.52006074167252], [10.02705118519015, 53.524271760647565], [10.021590631744486, 53.52700657671788], [10.014129384127642, 53.525530204724774]]]}",11,903,930
14,881f1532a1fffff,0,0,0,0,4,0,0,54169.0,11236.0,20.74249109,7294.0,13.46526611,17593.0,32.47798556,32447.0,59.94273046,8767.0,78.4027902,26250.0,2.0339047619999997,12879.0,49.06285714,6068.0,23.11619048,1604.0,26.43375082,35.38672277,1530.771876,743.0,475.0,5229.0,6176.0,-947.0,19577.0,51.9,3399.0,9.066175882000001,282.0,3.88858246,424.0,8.05777271,11703.0,21.6046078,3666.0,39.06649616,5255.0,21384.0,21890.0,4653.0,22618.0,55.0,3174.0,14.03307101,69.68949509,29.09850653,5245.0,23.18949509,231.0,27.0,7.0,22.66483516,71.0,39.0,22.0,9.0,13544.0,250.03230630000002,"{'type': 'Polygon', 'coordinates': [[[9.989217107815458, 53.501516727224285], [9.98721963252082, 53.497304011914586], [9.992678255783652, 53.49456929899856], [10.000134674762819, 53.496047132618784], [10.002133077194847, 53.500259837923394], [9.996674133565127, 53.50299471963753], [9.989217107815458, 53.501516727224285]]]}",4,274,274
15,881f1532a3fffff,0,1,0,0,4,2,9,54169.0,11236.0,20.74249109,7294.0,13.46526611,17593.0,32.47798556,32447.0,59.94273046,8767.0,78.4027902,26250.0,2.0339047619999997,12879.0,49.06285714,6068.0,23.11619048,1604.0,26.43375082,35.38672277,1530.771876,743.0,475.0,5229.0,6176.0,-947.0,19577.0,51.9,3399.0,9.066175882000001,282.0,3.88858246,424.0,8.05777271,11703.0,21.6046078,3666.0,39.06649616,5255.0,21384.0,21890.0,4653.0,22618.0,55.0,3174.0,14.03307101,69.68949509,29.09850653,5245.0,23.18949509,231.0,27.0,7.0,22.66483516,71.0,39.0,22.0,9.0,13544.0,250.03230630000002,"{'type': 'Polygon', 'coordinates': [[[10.002133077194847, 53.500259837923394], [10.000134674762819, 53.496047132618784], [10.00559296863998, 53.49331167835854], [10.013049984886129, 53.494788760562734], [10.015049314290478, 53.49900145573004], [10.009590700531257, 53.50173707885508], [10.002133077194847, 53.500259837923394]]]}",10,1059,1006
16,881f1532a5fffff,0,0,0,0,1,0,0,54169.0,11236.0,20.74249109,7294.0,13.46526611,17593.0,32.47798556,32447.0,59.94273046,8767.0,78.4027902,26250.0,2.0339047619999997,12879.0,49.06285714,6068.0,23.11619048,1604.0,26.43375082,35.38672277,1530.771876,743.0,475.0,5229.0,6176.0,-947.0,19577.0,51.9,3399.0,9.066175882000001,282.0,3.88858246,424.0,8.05777271,11703.0,21.6046078,3666.0,39.06649616,5255.0,21384.0,21890.0,4653.0,22618.0,55.0,3174.0,14.03307101,69.68949509,29.09850653,5245.0,23.18949509,231.0,27.0,7.0,22.66483516,71.0,39.0,22.0,9.0,13544.0,250.03230630000002,"{'type': 'Polygon', 'coordinates': [[[9.97976381154312, 53.49582542702128], [9.977767220294625, 53.491612288088454], [9.983225522901813, 53.48887774388757], [9.990680737467859, 53.49035616992904], [9.992678255783652, 53.49456929899856], [9.98721963252082, 53.497304011914586], [9.97976381154312, 53.49582542702128]]]}",1,488,496
17,881f1532c9fffff,0,0,0,0,3,0,0,3627.0,756.0,20.84367246,333.0,9.181141439,1168.0,32.20292253,1718.0,47.26272352,512.0,67.63540291,1745.0,2.115759312,707.0,40.51575931,416.0,23.83954155,62.0,14.90384615,2.42561203,1495.292716,68.0,9.0,903.0,665.0,238.0,1191.0,47.5,86.0,3.3000767460000002,11.0,3.1976744189999997,7.0,2.364864865,487.0,13.42707472,171.0,24.85465116,205.0,1255.0,93206.0,86.0,1478.0,182.0,6.0,0.4059539919,92.797023,37.81472291,8.0,0.5412719892,0.0,4.0,1.0,46.37681159,13.0,5.0,7.0,1.0,960.0,264.681555,"{'type': 'Polygon', 'coordinates': [[[9.981359177304235, 53.54192807946772], [9.979361033097954, 53.5377178574673], [9.984823227154967, 53.53498583907632], [9.992283886530858, 53.536463873747124], [9.994282959120284, 53.54067408555242], [9.988820444005482, 53.543406272906736], [9.981359177304235, 53.54192807946772]]]}",3,822,829
18,881f1532cbfffff,1,0,0,0,1,0,0,3627.0,756.0,20.84367246,333.0,9.181141439,1168.0,32.20292253,1718.0,47.26272352,512.0,67.63540291,1745.0,2.115759312,707.0,40.51575931,416.0,23.83954155,62.0,14.90384615,2.42561203,1495.292716,68.0,9.0,903.0,665.0,238.0,1191.0,47.5,86.0,3.3000767460000002,11.0,3.1976744189999997,7.0,2.364864865,487.0,13.42707472,171.0,24.85465116,205.0,1255.0,93206.0,86.0,1478.0,182.0,6.0,0.4059539919,92.797023,37.81472291,8.0,0.5412719892,0.0,4.0,1.0,46.37681159,13.0,5.0,7.0,1.0,960.0,264.681555,"{'type': 'Polygon', 'coordinates': [[[9.994282959120284, 53.54067408555242], [9.992283886530858, 53.536463873747124], [9.997745751142014, 53.53373111366584], [10.005207008969673, 53.53520839638445], [10.007207009777023, 53.539418597862415], [10.001744824593723, 53.54215152697379], [9.994282959120284, 53.54067408555242]]]}",5,1388,1495
19,881f1532d3fffff,0,0,0,0,4,0,0,9225.0,1581.0,17.13821138,1344.0,14.56910569,2593.0,28.10840108,5147.0,55.63722841,1242.0,78.60759494,5275.0,1.750331754,3150.0,59.71563981,892.0,16.90995261,295.0,33.07174888,7.190858696,1282.878776,103.0,101.0,1107.0,1033.0,74.0,3554.0,55.2,547.0,8.41409014,38.0,3.7037037039999996,82.0,7.714016933,1841.0,19.95663957,575.0,41.66666667,912.0,4024.0,20473.0,523.0,4596.0,38.0,137.0,2.9808529160000004,60.53959965,30.16151762,903.0,19.64751958,274.0,4.0,1.0,24.94577007,5.0,5.0,5.0,2.0,2380.0,257.9945799,"{'type': 'Polygon', 'coordinates': [[[10.033055912385263, 53.536903140543124], [10.031054055638824, 53.53269296011634], [10.036514928489176, 53.52995797489937], [10.043977977255613, 53.53143300090415], [10.045980761722591, 53.535643170607116], [10.040519569757732, 53.53837832505378], [10.033055912385263, 53.536903140543124]]]}",4,693,797
