,hex_id,U-Bahn,S-Bahn,DB,R-Bahn,Bus,rank,population,under_18s,share_under_18s,65yo_and_older,share_65yo_and_older,foreigners,share_foreigners,pop_w_migration_bg,share_pop_w_migration_bg,under_18_mig_bg,share_under_18_mig_bg,hh,ppl_per_hh,single_per_hh,share_single_per_hh,hh_w_chld,share_hh_w_chld,sngl_parent,share_sngl_parent,area_km,pop_dnsty,births,deaths,immigration,moving_away,migr_balance,social_insur,employment_rate,unemployed,share_unemployed,yng_unemployed,share_yng_unemployed,old_unemployed,share_old_unemployed,sgb_2,share_sgb_2,under_15_min_security,share_under_15_min_security,community_of_needs_sgb_2,taxpayers,total_income_per_taxpayer,residental_bldngs,apartments,ready_to_move_apt,apt_in_houses,share_apt_in_houses,apt_size,living_space_per_inhab,social_housing,share_social_housing,land_prices,kita_preschool,primary_schools,share_high_school_stud,doctors,practitioners,dentists,pharmacies,private_cars,car_density,geometry,counts,bike_end,bike_start
10,891f1532587ffff,0,1,0,0,1,10,29408.0,4486.0,15.25435256,3783.0,12.86384657,5757.0,19.57630577,11150.0,37.93291148,2346.0,52.55376344,18059.0,1.6527493219999998,11314.0,62.65020212,2928.0,16.21352234,910.0,31.07923497,2.717872695,10820.22718,390.0,211.0,3453.0,3339.0,114.0,12181.0,56.3,1544.0,7.117175256,112.0,4.286261003,263.0,8.620124549,3611.0,12.27897171,816.0,20.75807683,2196.0,14861.0,30833.0,1611.0,16313.0,219.0,187.0,1.1463250170000001,63.31343101,35.12078346,2320.0,14.22178631,1465.0,27.0,3.0,39.5480226,191.0,48.0,42.0,9.0,6708.0,228.101197,"{'type': 'Polygon', 'coordinates': [[[9.934077695206915, 53.55216370456255], [9.934288295684128, 53.55057108982525], [9.936915103100263, 53.5500030072075], [9.939331424632734, 53.55102752800395], [9.939120942907296, 53.552620158370715], [9.936494020894326, 53.55318825231293], [9.934077695206915, 53.55216370456255]]]}",15,2722,2512
11,891f153258fffff,0,0,0,0,1,0,35480.0,5585.0,15.74126268,4891.0,13.78523112,4577.0,12.90022548,9342.0,26.34294899,1933.0,34.66642755,21616.0,1.663813842,13264.0,61.36195411,3745.0,17.32512953,1026.0,27.3965287,2.795190658,12693.23075,457.0,214.0,3801.0,3916.0,-115.0,14942.0,57.9,1197.0,4.650891712,59.0,1.974564926,220.0,5.450941526,2205.0,6.214768884,415.0,8.553173949,1462.0,18815.0,40830.0,2399.0,19593.0,108.0,416.0,2.1232072680000003,70.42117083,38.88844419,1086.0,5.542795896,1599.0,34.0,4.0,51.45442793,175.0,28.0,61.0,9.0,9646.0,271.8714769,"{'type': 'Polygon', 'coordinates': [[[9.931872128599753, 53.54954647446289], [9.932082773071018, 53.54795380343636], [9.934709465892446, 53.54738573213716], [9.937125628834064, 53.54841032054732], [9.936915103100263, 53.5500030072075], [9.934288295684128, 53.55057108982525], [9.931872128599753, 53.54954647446289]]]}",1,786,752
12,891f1532593ffff,0,0,0,0,1,0,35480.0,5585.0,15.74126268,4891.0,13.78523112,4577.0,12.90022548,9342.0,26.34294899,1933.0,34.66642755,21616.0,1.663813842,13264.0,61.36195411,3745.0,17.32512953,1026.0,27.3965287,2.795190658,12693.23075,457.0,214.0,3801.0,3916.0,-115.0,14942.0,57.9,1197.0,4.650891712,59.0,1.974564926,220.0,5.450941526,2205.0,6.214768884,415.0,8.553173949,1462.0,18815.0,40830.0,2399.0,19593.0,108.0,416.0,2.1232072680000003,70.42117083,38.88844419,1086.0,5.542795896,1599.0,34.0,4.0,51.45442793,175.0,28.0,61.0,9.0,9646.0,271.8714769,"{'type': 'Polygon', 'coordinates': [[[9.92619699316587, 53.55386744670867], [9.926407787134695, 53.55227491953451], [9.929034637690432, 53.55170704598836], [9.931450808902596, 53.55273168830312], [9.931240133675196, 53.55432423111519], [9.928613168490918, 53.554892115976], [9.92619699316587, 53.55386744670867]]]}",1,1119,1108
13,891f153259bffff,0,0,0,0,2,0,35480.0,5585.0,15.74126268,4891.0,13.78523112,4577.0,12.90022548,9342.0,26.34294899,1933.0,34.66642755,21616.0,1.663813842,13264.0,61.36195411,3745.0,17.32512953,1026.0,27.3965287,2.795190658,12693.23075,457.0,214.0,3801.0,3916.0,-115.0,14942.0,57.9,1197.0,4.650891712,59.0,1.974564926,220.0,5.450941526,2205.0,6.214768884,415.0,8.553173949,1462.0,18815.0,40830.0,2399.0,19593.0,108.0,416.0,2.1232072680000003,70.42117083,38.88844419,1086.0,5.542795896,1599.0,34.0,4.0,51.45442793,175.0,28.0,61.0,9.0,9646.0,271.8714769,"{'type': 'Polygon', 'coordinates': [[[9.923991770425218, 53.551250182668916], [9.924202608368919, 53.549657599209446], [9.926829344298316, 53.5490897369721], [9.929245356907089, 53.55011444688683], [9.929034637690432, 53.55170704598836], [9.926407787134695, 53.55227491953451], [9.923991770425218, 53.551250182668916]]]}",2,413,403
14,891f15325abffff,0,1,0,0,1,5,29408.0,4486.0,15.25435256,3783.0,12.86384657,5757.0,19.57630577,11150.0,37.93291148,2346.0,52.55376344,18059.0,1.6527493219999998,11314.0,62.65020212,2928.0,16.21352234,910.0,31.07923497,2.717872695,10820.22718,390.0,211.0,3453.0,3339.0,114.0,12181.0,56.3,1544.0,7.117175256,112.0,4.286261003,263.0,8.620124549,3611.0,12.27897171,816.0,20.75807683,2196.0,14861.0,30833.0,1611.0,16313.0,219.0,187.0,1.1463250170000001,63.31343101,35.12078346,2320.0,14.22178631,1465.0,27.0,3.0,39.5480226,191.0,48.0,42.0,9.0,6708.0,228.101197,"{'type': 'Polygon', 'coordinates': [[[9.93975235735383, 53.54784213905489], [9.939962808350954, 53.54624938047424], [9.942589457966156, 53.54568110010972], [9.945005771143922, 53.54670556699891], [9.944795438894605, 53.54829834120478], [9.94216867471641, 53.548866632897635], [9.93975235735383, 53.54784213905489]]]}",10,523,468
15,891f15325b7ffff,0,0,0,0,1,0,29408.0,4486.0,15.25435256,3783.0,12.86384657,5757.0,19.57630577,11150.0,37.93291148,2346.0,52.55376344,18059.0,1.6527493219999998,11314.0,62.65020212,2928.0,16.21352234,910.0,31.07923497,2.717872695,10820.22718,390.0,211.0,3453.0,3339.0,114.0,12181.0,56.3,1544.0,7.117175256,112.0,4.286261003,263.0,8.620124549,3611.0,12.27897171,816.0,20.75807683,2196.0,14861.0,30833.0,1611.0,16313.0,219.0,187.0,1.1463250170000001,63.31343101,35.12078346,2320.0,14.22178631,1465.0,27.0,3.0,39.5480226,191.0,48.0,42.0,9.0,6708.0,228.101197,"{'type': 'Polygon', 'coordinates': [[[9.944164380724217, 53.553076407392105], [9.944374743685481, 53.55148376140217], [9.947001622428838, 53.55091545837508], [9.949418252774993, 53.55193978999916], [9.949208008590228, 53.553532451605946], [9.946581015279541, 53.55410076597315], [9.944164380724217, 53.553076407392105]]]}",1,1683,1622
16,891f15325dbffff,0,0,0,0,2,0,35480.0,5585.0,15.74126268,4891.0,13.78523112,4577.0,12.90022548,9342.0,26.34294899,1933.0,34.66642755,21616.0,1.663813842,13264.0,61.36195411,3745.0,17.32512953,1026.0,27.3965287,2.795190658,12693.23075,457.0,214.0,3801.0,3916.0,-115.0,14942.0,57.9,1197.0,4.650891712,59.0,1.974564926,220.0,5.450941526,2205.0,6.214768884,415.0,8.553173949,1462.0,18815.0,40830.0,2399.0,19593.0,108.0,416.0,2.1232072680000003,70.42117083,38.88844419,1086.0,5.542795896,1599.0,34.0,4.0,51.45442793,175.0,28.0,61.0,9.0,9646.0,271.8714769,"{'type': 'Polygon', 'coordinates': [[[9.914539802188592, 53.5455580572027], [9.914750846739244, 53.543965376842586], [9.917377317589915, 53.54339764736888], [9.919792858523337, 53.54442258696749], [9.919581932658627, 53.54601528298432], [9.91695534717127, 53.54658302374721], [9.914539802188592, 53.5455580572027]]]}",2,1403,1507
17,891f15328bbffff,0,1,0,0,1,8,4667.0,925.0,19.82001286,388.0,8.313691879,2106.0,45.12534819,3374.0,72.31033005,848.0,91.87432286,2510.0,1.880079681,1433.0,57.09163347,520.0,20.71713147,146.0,28.07692308,4.371206162,1067.6687,52.0,15.0,609.0,583.0,26.0,1769.0,51.5,333.0,9.511568123,29.0,3.9030955589999996,36.0,10.34482759,1118.0,23.95543175,334.0,42.93059126,505.0,1911.0,15831.0,210.0,2040.0,0.0,14.0,0.6862745098,60.96372549,26.64795372,413.0,20.24509804,247.0,2.0,1.0,17.05882353,3.0,3.0,3.0,0.0,787.0,168.6308121,"{'type': 'Polygon', 'coordinates': [[[10.011920649173685, 53.522912977689906], [10.012129297898635, 53.521319175309536], [10.014755167322795, 53.52074883834833], [10.017172502257981, 53.52177229236054], [10.016963972340765, 53.523366110294106], [10.01433798867742, 53.52393645866367], [10.011920649173685, 53.522912977689906]]]}",13,903,930
18,891f1532a03ffff,0,0,0,0,1,0,54169.0,11236.0,20.74249109,7294.0,13.46526611,17593.0,32.47798556,32447.0,59.94273046,8767.0,78.4027902,26250.0,2.0339047619999997,12879.0,49.06285714,6068.0,23.11619048,1604.0,26.43375082,35.38672277,1530.771876,743.0,475.0,5229.0,6176.0,-947.0,19577.0,51.9,3399.0,9.066175882000001,282.0,3.88858246,424.0,8.05777271,11703.0,21.6046078,3666.0,39.06649616,5255.0,21384.0,21890.0,4653.0,22618.0,55.0,3174.0,14.03307101,69.68949509,29.09850653,5245.0,23.18949509,231.0,27.0,7.0,22.66483516,71.0,39.0,22.0,9.0,13544.0,250.03230630000002,"{'type': 'Polygon', 'coordinates': [[[9.99205114867759, 53.49935235430854], [9.992260194547214, 53.49775804525399], [9.994885035913764, 53.49718781070371], [9.997300945627599, 53.498211873853855], [9.997092018436835, 53.49980619849924], [9.9944670628501, 53.50037644440503], [9.99205114867759, 53.49935235430854]]]}",1,274,274
19,891f1532a23ffff,0,1,0,0,1,9,54169.0,11236.0,20.74249109,7294.0,13.46526611,17593.0,32.47798556,32447.0,59.94273046,8767.0,78.4027902,26250.0,2.0339047619999997,12879.0,49.06285714,6068.0,23.11619048,1604.0,26.43375082,35.38672277,1530.771876,743.0,475.0,5229.0,6176.0,-947.0,19577.0,51.9,3399.0,9.066175882000001,282.0,3.88858246,424.0,8.05777271,11703.0,21.6046078,3666.0,39.06649616,5255.0,21384.0,21890.0,4653.0,22618.0,55.0,3174.0,14.03307101,69.68949509,29.09850653,5245.0,23.18949509,231.0,27.0,7.0,22.66483516,71.0,39.0,22.0,9.0,13544.0,250.03230630000002,"{'type': 'Polygon', 'coordinates': [[[10.004966797343608, 53.49809504279288], [10.005175531261948, 53.496500630697334], [10.007800363818996, 53.49593007698386], [10.010216576628078, 53.49695392399422], [10.010007961411146, 53.49854835166578], [10.007383014680434, 53.49911891675236], [10.004966797343608, 53.49809504279288]]]}",14,331,294
