name,population,Under_18s,Share_under_18s,65yo_and_older, share_65yo_and_older,Foreigners,share_foreigners,Pop_w_migration_bg,share_Pop_w_migration_bg,under_18_mig_bg,Share_under_18_mig_bg,hh,ppl_per_hh,single_per_hh,share_single_per_hh,hh_w_chld,share_hh_w_chld,sngl_parent,share_sngl_parent,area_km,pop_dnsty,births,deaths,immigration,moving_away,migr_balance,social_insur,employment_rate,unemployed,share_unemployed,yng_unemployed,share_yng_unemployed,old_unemployed,share_old_unemployed,sgb_2,share_sgb_2,under_15_min_security,share_under_15_min_security,Community_of_needs_sgb_2,taxpayers,total_income_per_taxpayer,residental_bldngs,apartments,ready_to_move_apt,apt_in_houses,share_apt_in_houses,apt_size,living_space_per_inhab,social_housing,share_social_housing,land_prices,kita_preschool,primary_schools,share_high_school_stud,doctors,practitioners,dentists,pharmacies,private_cars,car_density
Othmarschen,15281,3132,20.49604084,3190,20.87559715,1854,12.13271383,3842,25.13246549,1119,35.78509754,7214,2.109093429,3014,41.77987247,1834,25.42278902,255,13.9040349,5.946814357,2569.611069,204,139,1870,1629,241,4702,50.1,234,2.491482112,14,1.058201058,44,2.722772277,462,3.023362345,138,5.113004817,219,7056,108258,2748,7020,58,2357,33.57549858,112.9669516,51.89634186,157,2.236467236,1481,13,3,82.11284514,42,8,10,1,6606,432.3015509
Ottensen,35480,5585,15.74126268,4891,13.78523112,4577,12.90022548,9342,26.34294899,1933,34.66642755,21616,1.663813842,13264,61.36195411,3745,17.32512953,1026,27.3965287,2.795190658,12693.23075,457,214,3801,3916,-115,14942,57.9,1197,4.650891712,59,1.974564926,220,5.450941526,2205,6.214768884,415,8.553173949,1462,18815,40830,2399,19593,108,416,2.123207268,70.42117083,38.88844419,1086,5.542795896,1599,34,4,51.45442793,175,28,61,9,9646,271.8714769
Poppenbüttel,23280,3752,16.11683849,7698,33.06701031,1691,7.263745704,4866,20.91643741,1332,35.60545309,11122,2.018521849,4533,40.75705808,2263,20.34705988,374,16.52673442,8.105230587,2872.219334,173,514,2105,1386,719,6953,56.5,297,2.384775976,16,0.8611410118,72,2.603036876,702,3.015463918,198,6.329923274,368,11517,52157,6182,10648,103,6075,57.05296769,103.8083208,47.48071306,404,3.794139745,525,10,3,68.24605154,121,27,44,9,10644,457.2164948
Rahlstedt,91703,16000,17.44762985,20428,22.27626141,12373,13.49247026,29971,32.64814815,7797,48.90240843,46884,1.92833376,21693,46.26951625,9542,20.35235901,2608,27.33179627,26.56598439,3451.895425,939,1020,10440,9275,1165,33466,58.1,2789,4.810279407,296,3.106633081,508,4.44600035,9515,10.37588738,2919,21.95562241,4661,42075,33419,15319,44157,294,12600,28.53454718,81.17342664,39.08678015,3435,7.779061078,453,37,12,42.16938495,153,56,63,15,35925,391.7538139
Reitbrook,506,60,11.85770751,128,25.29644269,41,8.102766798,65,12.77013752,8,13.55932203,263,1.958174905,123,46.76806084,42,15.96958175,4,9.523809524,6.937304502,72.93899235,2,9,35,44,-9,202,59.9,4,1.212121212,0,0,0,0,7,1.383399209,3,6.25,3,242,37041,147,231,0,151,65.36796537,119.7012987,54.64624506,0,0,223,0,0,25,0,0,2,0,283,559.2885375
Rönneburg,3233,612,18.92978658,582,18.00185586,468,14.47571915,1040,32.37858032,296,48.44517185,1519,2.162606978,579,38.11718236,366,24.09479921,72,19.67213115,2.247532359,1438.466497,19,22,291,256,35,1271,60.3,62,2.899906455,7,1.75879397,11,2.528735632,207,6.40272193,71,13.84015595,96,1443,38848,776,1392,3,757,54.38218391,96.46982759,41.53603464,153,10.99137931,303,1,1,54.32692308,0,0,0,0,1435,443.8601918
Rothenburgsort,9225,1581,17.13821138,1344,14.56910569,2593,28.10840108,5147,55.63722841,1242,78.60759494,5275,1.750331754,3150,59.71563981,892,16.90995261,295,33.07174888,7.190858696,1282.878776,103,101,1107,1033,74,3554,55.2,547,8.41409014,38,3.703703704,82,7.714016933,1841,19.95663957,575,41.66666667,912,4024,20473,523,4596,38,137,2.980852916,60.53959965,30.16151762,903,19.64751958,274,4,1,24.94577007,5,5,5,2,2380,257.9945799
Rotherbaum,16744,2275,13.58695652,2623,15.66531295,2837,16.9433827,5064,30.1751877,847,37.16542343,10841,1.59136611,6998,64.55124066,1446,13.33825293,324,22.406639,2.735309267,6121.428462,173,99,2633,2413,220,6212,51.2,366,3.016566389,12,0.7717041801,64,3.644646925,435,2.597945533,59,2.967806841,318,8142,68191,1200,9980,49,330,3.306613226,83.02715431,49.48704013,79,0.7915831663,3692,16,2,81.77496038,130,19,45,8,5371,320.7716197
Sasel,23647,4513,19.08487335,6068,25.66076035,1345,5.687825094,3880,16.41494267,1132,25.18353726,11176,2.147727273,4102,36.70365068,2689,24.06048676,364,13.53663072,8.363075418,2827.548338,191,199,1642,1497,145,7583,54.3,293,2.11049485,15,0.6790402897,69,2.132921175,386,1.632342369,82,2.218614719,229,10933,61360,7456,10895,106,7542,69.22441487,112.5361175,51.8493255,36,0.3304268013,560,12,3,68.05912596,33,9,12,2,11989,506.9987736
Schnelsen,29578,5526,18.68280479,5902,19.95401988,4140,13.99688958,9418,31.82832038,2634,47.7519942,14157,2.023521933,6159,43.50497987,3237,22.86501377,798,24.65245598,8.950757134,3304.52492,294,298,3416,3247,169,11015,57.8,882,4.62433807,80,2.455494168,170,4.630890765,2736,9.250118331,850,18.46621768,1317,13530,37866,5831,13409,121,5320,39.67484525,88.71608621,40.2188789,1674,12.48415243,489,25,4,40.42675894,51,17,28,6,12023,406.4845493
Sinstorf,4102,980,23.89078498,648,15.79717211,1011,24.6465139,1768,43.1640625,656,67.14431934,1761,2.201022147,669,37.98977853,472,26.80295287,92,19.49152542,2.516604269,1629.974188,55,34,878,421,457,1387,57.5,141,5.371428571,19,3.747534517,17,4.325699746,633,15.43149683,237,28.58866104,267,1667,33328,880,1549,85,913,58.94125242,90.9244674,34.33495856,104,6.714009038,263,2,1,44.88188976,10,3,3,0,1521,370.7947343
Spadenland,514,76,14.78599222,116,22.56809339,16,3.112840467,35,6.862745098,7,9.333333333,246,2.085365854,91,36.99186992,46,18.69918699,10,21.73913043,3.419222592,150.3265687,3,2,42,35,7,200,59.2,7,2.071005917,0,0,5,7.8125,9,1.750972763,0,0,7,261,35255,115,212,4,118,55.66037736,107.4858491,44.33268482,0,0,240,0,0,42.85714286,0,0,0,0,300,583.6575875
St. Georg,11055,1108,10.0226142,1397,12.63681592,2552,23.08457711,4274,38.60885276,588,52.73542601,7207,1.515054808,4892,67.87845151,732,10.15679201,179,24.45355191,1.822657489,6065.319495,116,90,2005,1770,235,4743,55.7,427,4.90973899,25,2.14961307,71,5.819672131,819,7.408412483,128,13.3194589,549,5683,44121,537,6091,64,56,0.9193892628,71.08980463,39.16852103,684,11.22968314,2179,8,3,54.18060201,106,36,15,7,2300,208.0506558
St. Pauli,22501,2991,13.29274254,2150,9.555130883,4880,21.68792498,8309,36.80131101,1435,48.00936768,15163,1.53234848,10462,68.99690035,1974,13.01853195,638,32.32016211,2.242487666,10033.94593,239,150,2933,2823,110,9368,52.8,1316,7.42035523,60,3.186404673,220,10.31411158,2987,13.27496556,607,23.20336391,1933,11066,27977,1281,12481,100,169,1.354058168,64.2342761,35.62988312,1828,14.64626232,1316,18,1,39.24205379,39,11,15,8,4370,194.2135905
