name,population,Under_18s,Share_under_18s,65yo_and_older, share_65yo_and_older,Foreigners,share_foreigners,Pop_w_migration_bg,share_Pop_w_migration_bg,under_18_mig_bg,Share_under_18_mig_bg,hh,ppl_per_hh,single_per_hh,share_single_per_hh,hh_w_chld,share_hh_w_chld,sngl_parent,share_sngl_parent,area_km,pop_dnsty,births,deaths,immigration,moving_away,migr_balance,social_insur,employment_rate,unemployed,share_unemployed,yng_unemployed,share_yng_unemployed,old_unemployed,share_old_unemployed,sgb_2,share_sgb_2,under_15_min_security,share_under_15_min_security,Community_of_needs_sgb_2,taxpayers,total_income_per_taxpayer,residental_bldngs,apartments,ready_to_move_apt,apt_in_houses,share_apt_in_houses,apt_size,living_space_per_inhab,social_housing,share_social_housing,land_prices,kita_preschool,primary_schools,share_high_school_stud,doctors,practitioners,dentists,pharmacies,private_cars,car_density
Alsterdorf,15031,2484,16.52584658,2837,18.87432639,2026,13.47881046,4094,27.26243591,1036,41.74053183,8109,1.806264644,4352,53.6687631,1479,18.23899371,359,24.27315754,3.155241052,4763.819865,168,157,2100,1524,576,5421,54.8,390,3.872889772,32,2.033036849,67,3.890824623,1109,7.37808529,332,15.63088512,539,6302,52426,1995,7728,125,1312,16.97722567,77.60610766,39.90020624,588,7.608695652,886,11,2,56.08391608,38,9,10,4,5209,346.5504624
Altengamme,2246,418,18.61086376,439,19.54585931,92,4.096170971,209,9.317877842,64,15.38461538,1017,2.226155359,337,33.1366765,250,24.58210423,51,20.4,15.60817234,143.8989749,19,30,164,140,24,888,60.3,33,2.264927934,0,0,5,1.506024096,68,3.02760463,22,6.285714286,36,1060,47341,643,909,1,698,76.78767877,107.5379538,43.52270703,4,0.4400440044,230,1,1,48.17518248,1,1,0,0,1270,565.4496883
Altenwerder,746,155,20.77747989,103,13.80697051,68,9.115281501,127,17.04697987,27,17.53246753,386,1.968911917,187,48.44559585,86,22.27979275,27,31.39534884,16.69819445,44.67548885,6,7,77,77,0,294,56.8,21,4.069767442,3,3.703703704,3,2.678571429,63,8.445040214,23,18.11023622,29,361,34544,226,328,0,242,73.7804878,99.4054878,43.70643432,0,0,229,1,0,34.04255319,0,0,0,0,373,500
Altona-Altstadt,29408,4486,15.25435256,3783,12.86384657,5757,19.57630577,11150,37.93291148,2346,52.55376344,18059,1.652749322,11314,62.65020212,2928,16.21352234,910,31.07923497,2.717872695,10820.22718,390,211,3453,3339,114,12181,56.3,1544,7.117175256,112,4.286261003,263,8.620124549,3611,12.27897171,816,20.75807683,2196,14861,30833,1611,16313,219,187,1.146325017,63.31343101,35.12078346,2320,14.22178631,1465,27,3,39.5480226,191,48,42,9,6708,228.101197
Altona-Nord,22946,3647,15.89383771,2297,10.01045934,4387,19.11880066,8365,36.51403379,1875,51.62444934,13954,1.65135445,8752,62.72036692,2299,16.47556256,651,28.31665942,2.217816773,10346.21087,331,113,3371,2901,470,9761,57,1139,6.525350902,61,2.907530982,170,7.449605609,2737,11.92800488,662,20.72636193,1617,11541,29901,1159,12084,229,123,1.017874876,63.91923204,33.66164037,1332,11.02284012,1153,14,2,37.27748691,34,6,6,5,5166,225.1372788
Altstadt,2305,277,12.01735358,256,11.10629067,506,21.95227766,990,42.91287386,182,65.70397112,1508,1.592838196,939,62.26790451,187,12.4005305,47,25.13368984,1.300347228,1772.603463,46,8,344,343,1,1127,62.8,98,5.441421433,8,4.733727811,9,4.5,244,10.5856833,63,25.40322581,136,1952,31336,99,1346,2,17,1.263001486,73.38930163,42.85553145,189,14.04160475,0,1,0,40.98360656,161,48,45,8,629,272.8850325
Bahrenfeld,31160,5216,16.7394095,3988,12.79845956,7464,23.95378691,11481,36.86542722,2606,49.99040859,16912,1.735158467,9934,58.73935667,2961,17.50827815,711,24.01215805,10.54097228,2956.084047,403,246,4824,4938,-114,12442,55.1,1347,5.932352682,140,3.985197837,203,6.937799043,3800,12.19512195,893,19.99552172,2290,14963,33565,3535,14490,46,2309,15.93512767,69.79075224,32.45404365,372,2.567287785,714,27,4,41.83098592,39,12,23,5,8654,277.7278562
Barmbek-Nord,41892,4304,10.274038,5491,13.10751456,5558,13.26744963,11292,26.97047865,2010,46.95164681,29252,1.451969096,20637,70.54902229,2958,10.11212909,808,27.31575389,3.851196067,10877.65963,511,404,5767,5553,214,21726,66.8,1643,5.038795351,112,2.683277432,304,7.409212771,3463,8.266494796,631,16.63152346,2371,23386,28330,2682,26708,83,278,1.040886626,56.65250112,36.11847131,1032,3.864010783,840,13,2,37.4749499,97,28,37,13,11164,266.4947961
Barmbek-Süd,35218,3703,10.51450963,4992,14.17456982,4721,13.40507695,9518,27.06745535,1691,46.00108814,24039,1.473563792,16571,68.93381588,2560,10.64936145,736,28.75,3.091773916,11390.8717,413,323,5109,4893,216,17672,66,1211,4.492506307,71,2.184615385,210,6.264916468,2393,6.79482083,457,13.97553517,1578,19291,32679,2110,22141,121,119,0.5374644325,59.1810668,37.20620137,721,3.25640215,877,26,3,44.34490482,54,22,26,7,9992,283.718553
Bergedorf,35669,6188,17.34839777,7147,20.03700692,5325,14.92892988,11660,32.75096905,2859,46.44249513,18117,1.887122592,8857,48.88778495,3534,19.50654082,956,27.05149972,10.35909855,3443.253276,382,390,4712,4130,582,13383,58.1,1225,5.260897574,66,1.679389313,187,4.574363992,3828,10.73200819,1084,20.6988734,2041,15979,35049,5155,16993,179,4037,23.75684105,79.35785323,37.80672292,716,4.213499676,420,23,7,46.60887302,150,39,48,11,12161,340.9403123
Bergstedt,10836,2351,21.69619786,2288,21.11480251,969,8.942414175,1924,17.73108469,653,27.82275245,4823,2.163591126,1849,38.33713456,1282,26.5809662,210,16.38065523,7.039146034,1539.391277,84,84,943,857,86,3501,52.7,210,3.169332931,25,2.187226597,48,3.566121842,660,6.090808416,221,11.49843913,291,4836,51374,2850,4580,22,2801,61.15720524,103.4019651,43.70441122,187,4.082969432,483,9,1,52.57595773,7,5,5,2,4823,445.0904393
Billbrook,2097,650,30.9966619,116,5.531711969,1635,77.96852647,1806,85.18867925,632,97.38058552,628,1.53343949,464,73.88535032,68,10.82802548,18,26.47058824,6.288611786,333.4599227,40,10,645,743,-98,493,33.5,167,11.68649405,24,7.250755287,19,10.98265896,1000,47.68717215,387,70.10869565,372,403,22625,83,284,0,72,25.35211268,65.84507042,8.917501192,0,0,248,1,1,13.3640553,0,0,0,0,297,141.6309013
Billstedt,70539,13653,19.35525029,12646,17.92767122,17768,25.18890259,40525,57.45211733,10337,76.02412297,35135,2.005123097,16421,46.73687206,7814,22.23993169,2378,30.43255695,16.9238394,4168.025843,873,694,5825,5470,355,24312,52.4,3842,8.24959203,339,4.008039726,572,6.429133416,14833,21.02808376,4459,39.38697995,6906,29100,23247,7970,31632,46,6274,19.83434497,72.34718007,32.44284722,7450,23.55209914,401,26,8,29.04085258,95,45,33,8,21704,307.6879457
Billwerder,3784,1170,30.91966173,318,8.403805497,2651,70.05813953,2716,73.14839752,1000,87.33624454,1312,2.733993902,374,28.50609756,499,38.03353659,77,15.43086172,9.469395088,399.6031388,70,18,2562,380,2182,461,29.7,25,1.008471158,3,0.4807692308,4,1.544401544,1870,49.41860465,688,69.70618034,661,643,30575,383,560,1,406,72.5,93.94285714,13.90274841,780,139.2857143,239,3,1,25.82159624,0,0,0,0,569,150.3699789
Blankenese,13491,2481,18.3900378,3722,27.58876288,1118,8.287006152,2370,17.56466316,619,24.95967742,7002,1.992716367,3203,45.74407312,1454,20.76549557,252,17.33149931,7.735771399,1743.976044,112,105,1253,1170,83,3566,46.5,129,1.671417466,12,0.9900990099,30,1.885606537,159,1.178563487,24,1.170160897,112,6279,117139,3406,6857,59,3114,45.41344611,117.0816684,59.50848714,48,0.7000145836,1670,8,3,77.55581669,112,23,24,6,6639,492.1058483
Borgfelde,7635,834,10.92337917,923,12.08906352,2201,28.82776686,3403,44.48366013,588,70.75812274,4462,1.478709099,3065,68.69116988,441,9.883460332,125,28.3446712,0.8218548059,9289.962102,72,54,1631,1530,101,3296,56,302,5.054393305,25,2.011263073,49,7.538461538,888,11.63064833,224,30.39348711,508,3643,26217,380,4379,30,43,0.9819593515,55.54304636,31.85631958,134,3.060059374,664,3,0,40.75829384,3,2,4,2,1645,215.4551408
Bramfeld,52342,7695,14.70138703,11263,21.51809255,6333,12.09927018,15227,29.11639291,3527,46.01435095,30001,1.761141295,16054,53.51154962,4942,16.47278424,1440,29.13800081,10.0658645,5199.950784,519,546,4833,4352,481,21161,61.3,1774,5.125093893,175,3.350564809,349,5.071937218,5311,10.14672729,1382,21.37664346,3019,25974,30928,9075,27970,222,7565,27.0468359,71.19138363,38.04254709,1913,6.839470862,479,24,5,42.49242752,71,31,39,10,20565,392.8967177
Rissen,15327,2825,18.43152607,4664,30.4299602,1239,8.083773733,2753,17.96176682,812,28.78411911,7785,1.983429672,3533,45.38214515,1657,21.28452152,325,19.61375981,16.70384792,917.5730091,101,221,1196,1029,167,4288,51.9,286,3.425149701,12,0.9009009009,63,3.511705686,603,3.934233705,163,7.047124946,336,7287,65855,3765,7442,55,3496,46.97661919,101.1165009,49.09695309,178,2.391830153,641,7,2,66.17954071,32,7,16,4,6741,439.8120963
Cranz,840,119,14.16666667,150,17.85714286,228,27.14285714,332,39.52380952,66,55.93220339,500,1.732,285,57,73,14.6,18,24.65753425,1.332876373,630.2159878,11,9,168,155,13,344,55.2,34,5.772495756,3,3.225806452,3,2.631578947,87,10.35714286,22,21.78217822,50,378,31335,166,398,0,143,35.92964824,87.09547739,41.26666667,0,0,231,1,1,48.64864865,2,2,0,0,354,421.4285714
Curslack,3964,833,21.01412714,603,15.21190716,702,17.70938446,1046,26.40747286,349,42.04819277,1577,2.190868738,544,34.49587825,397,25.17438174,77,19.39546599,10.57381252,374.8884324,47,32,590,586,4,1502,56.9,126,4.731505821,9,1.914893617,20,3.731343284,460,11.60443996,171,24.49856734,193,1711,41512,954,1479,26,982,66.39621366,104.8735632,39.12916246,9,0.6085192698,266,1,1,41.40625,8,5,0,1,1812,457.1140262
Dulsberg,17442,2169,12.43550052,2204,12.63616558,3767,21.59729389,7478,42.8931972,1550,71.62661738,12004,1.47934022,8522,70.99300233,1354,11.27957348,584,43.13146233,1.225829537,14228.73203,172,138,2344,2295,49,8160,60.9,1137,8.483175408,78,3.760848602,191,10.83380601,3026,17.34892788,745,40.59945504,1766,8895,21239,1074,10743,0,39,0.3630270874,53.28353346,32.81877078,1077,10.02513264,799,8,0,24.85714286,24,7,7,3,3870,221.878225
Duvenstedt,6221,1364,21.92573541,1186,19.06445909,469,7.538980871,985,15.84620335,363,26.80945347,2623,2.378955395,798,30.42317957,770,29.35569958,146,18.96103896,6.782221382,917.2510966,53,49,412,442,-30,2064,52.2,79,2.001013171,7,0.9138381201,19,2.219626168,262,4.211541553,104,9.567617295,83,2738,65694,1788,2528,15,1832,72.46835443,118.0486551,47.970905,82,3.243670886,467,2,1,63.31471136,13,5,7,3,3193,513.2615335
Eidelstedt,32601,5334,16.3614613,7197,22.07600994,5339,16.37679826,11656,35.74692551,2958,55.67476002,17329,1.884124877,8533,49.24115644,3275,18.89895551,822,25.09923664,8.722351376,3737.638922,343,392,2946,2701,245,12328,59.2,1159,5.554490559,117,3.586756591,186,4.728012201,3403,10.43833011,960,21.1546937,1757,15376,30938,5094,15913,141,4393,27.60635958,75.32753095,36.76841201,1307,8.213410419,455,10,5,39.27905531,53,16,20,5,11474,351.9523941
Eilbek,21964,2551,11.61446003,3350,15.25223092,3342,15.21580769,6851,31.19053039,1373,54.20450059,14479,1.538296844,9507,65.66061192,1688,11.65826369,413,24.46682464,1.751378012,12540.98193,291,171,3318,2958,360,10675,65.8,736,4.495480088,51,2.485380117,137,6.281522238,1630,7.421234748,402,17.93041927,939,12199,32559,1552,13289,81,199,1.497479118,62.4186169,37.76547988,436,3.280909022,1000,13,3,44.47949527,35,12,24,3,6268,285.3760699
Eimsbüttel,57541,7384,12.83258894,7254,12.60666308,6919,12.02446951,13528,23.50120737,2407,32.65499932,38707,1.527630661,26071,67.35474204,5065,13.08548841,1287,25.40967423,3.225548705,17839.13537,838,300,6999,7181,-182,27126,62.1,1651,3.773973072,86,1.884724962,271,4.7237232,2578,4.480283624,429,6.559633028,1811,32492,37536,3259,34235,92,310,0.905506061,63.92709216,38.03451452,666,1.945377538,1557,63,8,62.50684182,290,32,57,12,14983,260.3882449
Eißendorf,24540,4158,16.94376528,5026,20.4808476,4321,17.60798696,9431,38.45150243,2392,57.65244637,13064,1.88556338,6523,49.93110839,2500,19.13655848,641,25.64,8.339131496,2942.752493,275,257,2626,2367,259,9057,57,844,5.264471058,62,2.205620776,137,4.778514126,2607,10.62347188,781,22.42963814,1293,11549,32988,4296,12119,78,3657,30.17575708,78.4011057,38.71813366,674,5.561514976,348,8,3,44.09937888,14,9,8,1,8886,362.1026895
Eppendorf,24718,3392,13.72279311,4563,18.46023141,2395,9.68929525,5078,20.57036377,972,28.74889086,15336,1.629564424,9491,61.88706312,2224,14.50182577,473,21.26798561,2.669254115,9260.264829,327,228,3423,3227,196,10444,61.1,448,2.610114192,24,1.116798511,97,3.850734418,538,2.176551501,66,2.20661986,407,13210,58438,1631,14152,26,374,2.642736009,80.11849915,45.87090379,625,4.416336914,2522,14,3,78.52272727,161,28,45,11,7925,320.6165547
Allermöhe,1361,206,15.13592946,274,20.13225569,148,10.87435709,297,22,64,31.68316832,668,2.05988024,267,39.97005988,124,18.56287425,24,19.35483871,8.637358433,157.5713235,10,16,195,177,18,566,61.3,21,2.272727273,3,2.040816327,6,2.816901408,17,1.249081558,4,2.45398773,12,696,38369,455,594,5,502,84.51178451,114.8518519,50.12637766,0,0,226,2,0,41.55844156,0,0,2,0,762,559.8824394
Farmsen-Berne,34752,6090,17.52417127,6927,19.93266575,4148,11.93600368,10704,30.79756013,2839,46.80184636,17852,1.910710285,8517,47.70894017,3748,20.99484652,1010,26.94770544,8.226367201,4224.464962,338,392,3067,2824,243,13762,60.6,1045,4.602713178,87,2.509374099,205,4.61607746,3618,10.4109116,1141,22.28080453,1743,16784,31603,6461,16881,177,5733,33.96125822,76.05177418,36.94262201,1144,6.776849713,477,21,6,39.74160207,41,16,16,5,13255,381.4168969
Finkenwerder,11765,1896,16.11559711,2316,19.68550786,1985,16.8720782,3511,29.88085106,892,47.29586426,6341,1.8683173,3222,50.81217474,1168,18.4198076,316,27.05479452,29.42050989,399.8910979,121,119,870,784,86,4802,61.1,404,5.123652505,26,1.977186312,76,4.622871046,1097,9.324266893,293,18.73401535,596,5919,31649,2299,5777,0,1915,33.14869309,75.49108534,37.06859329,701,12.13432577,296,5,2,40.99821747,7,5,7,3,4386,372.80068
Francop,709,108,15.23272214,127,17.91255289,77,10.86036671,111,15.58988764,12,11.11111111,346,2.104046243,134,38.7283237,68,19.65317919,16,23.52941176,8.813302542,80.44657455,3,2,95,56,39,291,60.5,8,1.609657948,0,0,0,0,26,3.667136812,6,7.058823529,12,356,35782,203,341,12,249,73.02052786,97.6568915,46.96897038,0,0,229,0,0,33.33333333,1,0,0,0,374,527.5035261
Fuhlsbüttel,12701,1975,15.5499567,2530,19.91969136,1606,12.64467365,2948,23.13245449,669,33.82204247,7162,1.760960626,3903,54.49595085,1233,17.21586149,291,23.60097324,7.774407367,1633.693657,136,105,1540,1487,53,5173,61,324,3.814906394,23,1.81531176,64,4.353741497,919,7.235650736,227,13.52800954,535,6490,39526,2060,6748,12,1513,22.42145821,76.64685833,40.7222266,169,2.504445762,590,7,2,58.75420875,24,5,15,4,4751,374.0650342
Groß Borstel,8499,1387,16.31956701,1796,21.13189787,1312,15.43711025,2288,26.89233662,510,36.77000721,4736,1.749366554,2666,56.29222973,772,16.30067568,188,24.35233161,3.985755325,2132.343636,71,84,1291,1242,49,3081,56.3,251,4.518451845,14,1.707317073,60,5.509641873,603,7.094952347,119,10.36585366,399,4064,42631,1752,4443,3,1577,35.49403556,74.86045465,39.13460407,177,3.983794733,553,8,2,58.25892857,5,4,7,2,3171,373.102718
Groß Flottbek,11034,2203,19.96556099,2368,21.46093892,1409,12.76962117,2472,22.38927633,624,28.31215971,5268,2.093204252,2282,43.3181473,1291,24.50645406,180,13.94268009,2.370778877,4654.166657,101,95,1232,1181,51,3210,47.2,117,1.709027169,5,0.3987240829,29,2.412645591,98,0.8881638572,13,0.7142857143,67,5126,85952,2446,5254,17,2209,42.04415683,104.2607537,49.64527823,36,0.6851922345,1189,7,1,84.52883263,70,13,21,4,4707,426.5905383
Gut Moor,1723,408,23.67962855,256,14.85780615,507,29.42542078,718,41.74418605,252,62.06896552,730,2.208219178,296,40.54794521,176,24.10958904,30,17.04545455,10.07031969,171.0968523,17,13,239,220,19,586,52.5,52,4.585537919,7,3.03030303,8,3.883495146,278,16.13464887,113,33.93393393,91,693,32295,431,567,1,468,82.53968254,102.8024691,33.82994777,0,0,484,0,1,25.18518519,0,0,0,0,706,409.7504353
Neuland,1723,408,23.67962855,256,14.85780615,507,29.42542078,718,41.74418605,252,62.06896552,730,2.208219178,296,40.54794521,176,24.10958904,30,17.04545455,10.07031969,171.0968523,17,13,239,220,19,586,52.5,52,4.585537919,7,3.03030303,8,3.883495146,278,16.13464887,113,33.93393393,91,693,32295,431,567,1,468,82.53968254,102.8024691,33.82994777,0,0,484,0,1,25.18518519,0,0,0,0,706,409.7504353
HafenCity,3627,756,20.84367246,333,9.181141439,1168,32.20292253,1718,47.26272352,512,67.63540291,1745,2.115759312,707,40.51575931,416,23.83954155,62,14.90384615,2.42561203,1495.292716,68,9,903,665,238,1191,47.5,86,3.300076746,11,3.197674419,7,2.364864865,487,13.42707472,171,24.85465116,205,1255,93206,86,1478,182,6,0.4059539919,92.797023,37.81472291,8,0.5412719892,0,4,1,46.37681159,13,5,7,1,960,264.681555
Hamm,38716,4453,11.50170472,5398,13.94255605,7037,18.17594793,13792,35.61983471,2795,62.93627561,26171,1.494516832,17808,68.04478239,2871,10.97015781,888,30.92998955,3.888800096,9955.770171,487,331,5488,5066,422,18895,65.2,1542,5.239729519,90,2.195121951,236,6.37321091,3952,10.20766608,980,25.19928002,2304,21255,25745,2314,23287,45,258,1.107914287,58.71134109,35.31384957,1228,5.273328467,397,15,4,38.69863014,25,11,28,6,10136,261.8039054
Hammerbrook,3939,448,11.37344504,133,3.376491495,1812,46.00152323,2470,62.48418922,379,84.40979955,2009,1.554504729,1314,65.40567446,201,10.0049776,55,27.36318408,2.495986588,1578.13348,61,8,1356,1615,-259,1645,47.4,248,7.253582919,29,3.344867359,26,12.80788177,724,18.38029957,155,40.05167959,475,1199,19468,86,1877,203,6,0.3196590304,56.90356953,27.11551155,219,11.66755461,860,5,1,27.73109244,0,0,12,0,497,126.1741559
Harburg,25860,4081,15.78112916,2807,10.8546017,10238,39.59010054,15255,58.8996139,3306,81.26843658,14607,1.684671733,8986,61.51845006,2294,15.70479907,694,30.25283348,3.990648399,6480.149944,377,162,5108,5561,-453,9910,51.8,1417,7.246969774,121,2.929072864,191,8.871342313,4689,18.13225058,1374,39.25714286,2356,9499,20773,1586,12799,164,284,2.218923353,60.26744277,29.82842227,1171,9.149152278,286,16,0,24.36594203,178,34,62,12,4850,187.5483372
Harvestehude,17952,2775,15.4578877,3685,20.52696078,2352,13.10160428,4770,26.55015028,960,34.71971067,10896,1.709801762,6468,59.36123348,1718,15.76725404,343,19.96507567,2.050524388,8754.833693,197,120,2227,2125,102,5776,48.6,382,3.206042803,28,1.793721973,73,3.427230047,611,3.403520499,105,4.464285714,416,9233,111088,1347,10036,1,533,5.310880829,96.77092467,54.09943182,75,0.7473096851,4034,19,1,81.10831234,149,14,50,5,6871,382.7428699
Heimfeld,22082,3810,17.25387193,3438,15.56924192,5343,24.19617788,9851,44.58474768,2382,62.51968504,12171,1.802974283,6785,55.7472681,2274,18.68375647,590,25.94547054,13.00423232,1698.062559,272,232,3103,2905,198,8858,57.7,882,5.722070845,80,2.859185132,116,5.489824894,2724,12.33583915,784,24.27244582,1416,9595,30132,2485,10567,16,1539,14.56420933,71.42878774,34.18114301,1577,14.92381944,310,8,2,34.51557093,27,9,12,3,6308,285.6625306
Hoheluft-Ost,9624,1292,13.4247714,1489,15.47173732,1011,10.50498753,2140,22.24994801,378,29.53125,6261,1.596390353,3940,62.92924453,887,14.16706596,216,24.35174746,0.565504478,17018.43288,132,53,1219,1276,-57,4243,60.5,212,3.020373273,7,0.9433962264,53,4.967197751,304,3.158769742,39,3.494623656,238,5182,52006,633,6004,0,93,1.548967355,72.67554963,45.33915212,106,1.765489674,2243,6,0,76.43312102,190,48,20,4,3101,322.2152951
Hoheluft-West,13337,1657,12.42408338,1817,13.62375347,1483,11.11944215,2850,21.311598,463,27.77444511,8952,1.534182306,5928,66.21983914,1191,13.30428954,294,24.68513854,0.7195187365,18536.00097,176,75,2049,1889,160,6316,63,317,3.147026705,10,0.9165902841,60,4.601226994,372,2.789232961,57,3.93918452,281,7902,42169,803,8018,97,108,1.346969319,66.37403342,39.90305166,12,0.1496632577,1838,9,1,72.39709443,32,8,11,3,3677,275.6991827
Hohenfelde,10030,1221,12.17347956,1586,15.81256231,1962,19.56131605,3685,36.65207877,737,60.26165168,6349,1.532524807,4187,65.94739329,711,11.19861395,151,21.23769339,1.154750982,8685.855354,148,125,1739,1646,93,4282,58.6,325,4.412763069,26,2.483285578,47,4.947368421,818,8.1555334,223,20.66728452,440,5111,39541,694,5768,8,151,2.617891817,67.72122053,38.9447657,89,1.542995839,1588,3,0,52.4822695,36,10,14,3,2702,269.3918245
Horn,38569,6001,15.5591278,6039,15.65765252,9906,25.68383935,19729,51.11669603,4474,74.51698867,22763,1.70618987,13535,59.46052805,3596,15.79756623,1188,33.03670745,5.897594921,6539.784525,439,417,4622,4587,35,15209,55.6,1885,6.87504559,137,2.763768408,283,6.728483119,6428,16.66623454,1844,36.07198748,3345,17772,21685,2760,19338,42,994,5.140138587,60.87537491,30.52212917,1637,8.465198056,382,15,5,29.77346278,37,21,14,6,10075,261.2201509
Hausbruch,16979,3212,18.91748631,3393,19.98350904,2553,15.03622121,9051,53.32272888,2254,70.48155097,7688,2.186784599,2876,37.40894901,1856,24.14151925,448,24.13793103,9.834933736,1726.39699,158,169,1237,1071,166,6244,56.8,671,6.092799419,52,2.459791864,131,5.379876797,2499,14.71818128,756,29.38204431,1106,7349,31023,2963,7199,26,2701,37.51909987,84.44089457,35.80246186,1148,15.94665926,239,9,1,31.8877551,16,4,11,2,6101,359.3262265
Hummelsbüttel,17871,3129,17.50881316,4467,24.99580326,2621,14.66621901,6268,35.06377266,1584,50.80179602,8717,1.990019502,3717,42.64081679,1856,21.29172881,493,26.5625,9.083595645,1967.392726,162,184,1885,1640,245,6051,56.4,542,5.019912939,52,3.012746234,106,4.553264605,1899,10.6261541,532,20.40659762,936,7872,38135,2780,8201,107,2239,27.30154859,88.57102792,40.6452353,1602,19.53420315,613,10,1,49.41520468,13,8,12,2,7196,402.6635331
Iserbrook,11468,2076,18.10254622,2883,25.13951866,998,8.702476456,2506,21.88072994,696,33.72093023,5690,1.975219684,2561,45.00878735,1252,22.00351494,305,24.36102236,2.670120614,4294.937067,105,147,1004,842,162,3891,57.1,261,3.812445223,9,0.8858267717,60,4.258339248,611,5.327868852,160,9.200690052,350,5539,39439,2484,5698,15,2313,40.59319059,84.04475254,41.75854552,132,2.316602317,612,9,3,51.10132159,8,6,6,1,4664,406.6968957
Jenfeld,26238,5146,19.61277536,4702,17.92057321,6529,24.88375638,14940,56.95768204,3934,76.77595628,12818,1.997113434,6180,48.21344984,2800,21.84428148,823,29.39285714,4.991186945,5256.865809,312,303,3483,2851,632,8450,48.5,1371,7.946444097,130,3.644519204,260,7.973014413,5879,22.40643342,1806,42.16670558,2708,10163,23975,2669,11053,161,2094,18.94508278,72.81100154,30.67230734,1596,14.43951868,428,16,4,30.79688436,35,15,19,5,7589,289.2369845
Kirchwerder,9910,1712,17.27547931,1978,19.95963673,684,6.902119072,1213,12.23892645,309,18.11254396,4600,2.161521739,1592,34.60869565,1073,23.32608696,198,18.45293569,32.30807069,306.7345029,94,82,892,849,43,4114,63.4,139,2.133537989,15,1.491053678,32,2.285714286,327,3.299697275,99,6.98659139,162,4668,39284,2810,4169,62,3064,73.49484289,106.4202447,44.76952573,26,0.6236507556,243,7,2,35.26405451,6,6,3,2,5415,546.4177598
Kleiner Grasbrook,1243,70,5.631536605,67,5.390185036,464,37.32904264,615,49.63680387,61,88.4057971,973,1.304213772,759,78.0061665,38,3.905447071,17,44.73684211,11.90017659,104.4522315,7,7,383,360,23,547,50.2,95,8.520179372,6,1.769911504,12,11.11111111,185,14.88334674,34,55.73770492,128,588,13777,70,735,0,2,0.2721088435,50.58911565,29.91391794,0,0,0,0,0,20,0,0,0,0,118,94.93161706
Langenbek,4037,625,15.48179341,924,22.88828338,426,10.55239039,1282,31.79563492,286,45.9807074,2008,2.046314741,766,38.14741036,405,20.16932271,108,26.66666667,0.7935528185,5087.248014,32,31,329,293,36,1590,60.2,103,3.943338438,10,2.298850575,26,3.840472674,237,5.870696061,64,12.7744511,127,1924,34231,1195,1875,12,1129,60.21333333,86.84426667,40.33514986,352,18.77333333,287,1,0,47,0,0,0,1,1777,440.1783503
Langenhorn,45888,8019,17.4751569,8882,19.35582287,7017,15.2915795,14308,31.1897807,3649,45.60109973,23379,1.908507635,11303,48.34680696,4735,20.2532187,1212,25.59662091,13.36714312,3432.89509,576,479,5158,4986,172,17339,57.5,1597,5.27532785,165,3.198914308,307,5.468471678,4917,10.71521967,1429,21.22382296,2499,20892,30965,9310,21569,335,8409,38.98650841,75.7216839,35.59189766,1833,8.498307757,356,25,6,41.3577676,89,22,20,8,16637,362.5566597
Lemsahl-Mellingstedt,6980,1354,19.3982808,1386,19.85673352,636,9.111747851,1318,18.85550787,371,27.3800738,2930,2.301706485,863,29.45392491,768,26.2116041,105,13.671875,8.002216325,872.258349,70,43,1020,972,48,2172,48.4,73,1.629100647,6,0.7712082262,16,1.428571429,135,1.934097421,40,3.593890386,67,3126,75191,2359,2772,20,2484,89.61038961,132.0021645,52.4226361,29,1.046176046,490,5,1,61.7370892,3,2,1,1,3872,554.7277937
Lohbrügge,39168,6105,15.58670343,9323,23.80259395,4699,11.9970384,15225,38.87002476,3467,56.98553583,20803,1.882036245,10108,48.5891458,3794,18.23775417,1082,28.51871376,13.04495229,3002.540686,325,461,2984,3256,-272,15308,61.4,1248,5.024559143,56,1.353965184,240,4.834810637,3882,9.911151961,1026,20.49131216,2082,18234,29127,5727,20082,43,4445,22.13424958,74.83288517,38.36790237,1567,7.803007669,390,14,4,41.67507568,48,18,28,7,14506,370.3533497
Lokstedt,28534,4858,17.02530315,5833,20.44227939,3979,13.94476765,8480,29.70747942,2085,43.10523051,15592,1.816380195,8460,54.25859415,2973,19.0674705,604,20.31617894,4.896199903,5827.784928,320,313,3187,3081,106,11033,60.1,750,4.058002381,67,2.411807055,134,4.582763338,2032,7.121328941,522,12.37260014,1048,14273,41778,3194,14888,121,2137,14.35384202,74.39380709,38.81597393,193,1.296346051,734,22,4,58.48348348,61,18,17,7,9513,333.3917432
Lurup,36257,7301,20.13680117,6669,18.39368949,7271,20.05405853,17291,47.673008,4814,66.15363474,17619,2.040127135,7927,44.99120268,4140,23.4973608,1201,29.00966184,6.292338356,5762.086835,401,402,2960,2835,125,12961,55.3,1727,7.360211388,172,4.286070272,248,5.635082936,6084,16.78020796,1980,32.33180927,2832,15733,26665,5453,15989,34,5206,32.55988492,77.33773219,34.10522106,2153,13.46550754,476,22,4,34.42899284,28,14,12,6,11736,323.6892186
